BatchID,NumProcesses,AvgPriority,AvgBurstTime,AvgArrivalTime,BestAlgo,AWT,ATAT,ART
895,10,4.7,24.3,130511.4,SRTF,38.9,63.2,37.6
896,10,5.4,23.6,130620.9,SRTF,22.5,46.1,11.3
897,10,4.8,11.1,130707.5,SRTF,7.7,18.8,7.2
898,10,4.6,16.1,130773.8,SRTF,21.7,37.8,16.7
899,10,4.8,17.8,130812.3,SRTF,32.1,49.9,29.9
900,10,5.9,14.9,130840.7,SRTF,13.2,28.1,6.4
901,10,4.7,14.9,130995.7,FCFS,1.3,16.2,1.3
902,10,5.2,15.7,131420.6,FCFS,1.4,17.1,1.4
903,10,4.3,12.7,131684.6,SRTF,5.4,18.1,3.1
904,10,4.2,11.5,131803.6,SRTF,4.5,16,2
905,10,5.5,28.7,131898.6,SRTF,28.2,56.9,27
906,10,3.9,12.5,131950.8,SRTF,26.4,38.9,26.2
907,10,5.3,15.2,131968.7,SRTF,29.9,45.1,29.3
908,10,5,19.4,131996.1,SJF,22.7,42.1,22.7
909,10,4.5,15.5,132149.1,SRTF,3.3,18.8,2.1
910,10,4.4,15.3,132395.4,SJF,5.3,20.6,5.3
911,10,5.4,12.4,132628.6,SRTF,5.7,18.1,4.5
912,10,3.8,20.2,132743.3,SRTF,14.2,34.4,11.4
913,10,4.3,20,132809.3,SRTF,29.7,49.7,28.1
914,10,4.7,19.3,132848.2,SRTF,41.7,61,26
915,10,4.7,23.2,132881.5,SRTF,39.7,62.9,35.6
916,10,4.7,21.8,132923.2,SRTF,41.8,63.6,39.5
917,10,4.6,15.5,133071.5,FCFS,3.2,18.7,3.2
918,10,4.8,14.9,133293.4,FCFS,10.8,25.7,10.8
919,10,5.7,17.1,133565.3,SRTF,1.5,18.6,0.5
920,10,5.1,21.1,133737.1,SRTF,19.3,40.4,15
921,10,3.9,17.5,133823.3,SRTF,31.7,49.2,17.8
922,10,4.4,29.5,133875,SRTF,61.5,91,52.4
923,10,4.9,23.1,133922.9,SRTF,41.8,64.9,35.6
924,10,4.8,10.9,133974.1,SRTF,9.9,20.8,5.6
925,10,4.8,14.8,134213.3,RR,4.7,19.5,0.6
926,10,4.8,15,134567,SRTF,7.5,22.5,5.1
927,10,6.4,20.6,134746.4,SRTF,25.8,46.4,24.6
928,10,5.5,20.5,134899.4,SRTF,15,35.5,13.8
929,10,4.2,19.8,135091.7,SRTF,40.3,60.1,36.3
930,10,5,29.4,135173.7,SRTF,62.7,92.1,62.1
931,10,3.4,29,135220.2,SJF,98.8,127.8,98.8
932,10,5.1,19.5,135271.5,SRTF,22.8,42.3,19.1
933,10,4.9,14.6,135412.9,SJF,9.4,24,9.4
934,10,4.8,14.6,135662.7,FCFS,4.6,19.2,4.6
935,10,5.2,21,135915.3,SRTF,21.3,42.3,19.7
936,10,3.1,22.6,136073.7,SRTF,20.5,43.1,19.5
937,10,5.2,29.5,136180.3,SRTF,58.8,88.3,48.3
938,10,4.4,21.8,136239.4,SJF,30.3,52.1,30.3
939,10,4.5,21.8,136281.6,SRTF,33.1,54.9,23.9
940,10,5,22.9,136313.5,SRTF,37.4,60.3,37.1
941,10,4.2,13.9,136508.4,FCFS,0,13.9,0
942,10,4.3,15.1,136831.4,RR,6.2,21.3,1
